title,description,category,location,budgetMin,budgetMax,createdAt,status
Urgente plomero en Palermo,Necesito plomero YA. Se rompió caño debajo de la pileta de la cocina y está inundando todo. Depto en Palermo Soho. Pago en efectivo o transferencia.,Plumbing,Palermo,15000,25000,2025-11-29T14:30:00Z,open
Pintor para living comedor,Busco pintor para pintar living-comedor de 30m2. Paredes en buen estado. Tengo la pintura. Zona Belgrano R. Cuánto sale?,Painting,Belgrano,40000,60000,2025-11-28T10:15:00Z,open
Electricista matriculado CABA,Necesito electricista matriculado para hacer certificación de instalación eléctrica para venta de depto. Recoleta. Urgente.,Electrical,Recoleta,50000,80000,2025-11-27T16:45:00Z,open
Mudanza Caballito a Núñez,Mudanza de depto 2 ambientes. Pocos muebles. Para el finde que viene. Presupuesto?,Moving,Caballito,80000,120000,2025-11-29T09:20:00Z,open
Gasista para termotanque,Se apagó el termotanque y no prende. Necesito gasista matriculado. Villa Crespo. Cuánto cobran?,Plumbing,Villa Crespo,20000,35000,2025-11-26T11:30:00Z,open
Limpieza profunda depto,Limpieza profunda de depto 3 ambientes antes de mudarme. Almagro. Para esta semana.,Cleaning,Almagro,25000,40000,2025-11-28T13:00:00Z,open
Carpintero para placard,Necesito arreglar puertas de placard que se salieron de las guías. Palermo. Urgente.,Carpentry,Palermo,15000,25000,2025-11-29T15:45:00Z,open
Aire acondicionado no enfría,Tengo un split que no enfría. Necesito service. Belgrano. Cuánto sale la visita?,Air Conditioning,Belgrano,30000,50000,2025-11-27T14:20:00Z,open
Cerrajero urgente Recoleta,Me quedé afuera de casa. Necesito cerrajero YA. Recoleta.,Locksmith,Recoleta,25000,40000,2025-11-29T18:30:00Z,open
Fumigación de cucarachas,Invasión de cucarachas en cocina. Necesito fumigación urgente. Caballito.,Pest Control,Caballito,20000,35000,2025-11-28T08:15:00Z,open
Pintor para frente de casa,Pintura exterior de frente de casa 2 pisos. La Plata. Tengo andamio.,Painting,La Plata,120000,180000,2025-11-26T10:00:00Z,open
Plomero para baño,Pérdida en inodoro. No para de correr agua. Villa Crespo. Cuánto cobran?,Plumbing,Villa Crespo,12000,20000,2025-11-29T12:00:00Z,open
Electricista para cambiar térmica,Salta la térmica todo el tiempo. Necesito electricista. Núñez.,Electrical,Núñez,25000,40000,2025-11-27T09:30:00Z,open
Jardinero para poda,Poda de árboles y limpieza de jardín. Casa en Belgrano. Para el finde.,Gardening,Belgrano,30000,50000,2025-11-28T11:45:00Z,open
Limpieza de obra,Limpieza post obra de depto. Mucho polvo y escombros. Palermo.,Cleaning,Palermo,40000,60000,2025-11-26T14:00:00Z,open
Instalación de cortinas,Instalación de cortinas roller en 4 ventanas. Recoleta. Tengo las cortinas.,Carpentry,Recoleta,15000,25000,2025-11-29T10:30:00Z,open
Service de aire acondicionado,Service preventivo de 3 splits. Caballito. Cuánto sale?,Air Conditioning,Caballito,45000,70000,2025-11-27T13:15:00Z,open
Copia de llaves,Necesito hacer copias de llaves de casa. Almagro. Dónde puedo ir?,Locksmith,Almagro,5000,10000,2025-11-28T16:20:00Z,open
Control de hormigas,Hormigas en toda la casa. Necesito control de plagas. Villa Crespo.,Pest Control,Villa Crespo,18000,30000,2025-11-29T09:00:00Z,open
Pintura de habitación,Pintar una habitación de 12m2. Palermo. Tengo la pintura. Cuánto cobran?,Painting,Palermo,25000,40000,2025-11-26T15:30:00Z,open
Destape de cañería,Cañería tapada en baño. Necesito destapista urgente. Belgrano.,Plumbing,Belgrano,18000,30000,2025-11-28T17:45:00Z,open
Instalación de ventilador de techo,Instalación de 2 ventiladores de techo. Recoleta. Tengo los ventiladores.,Electrical,Recoleta,20000,35000,2025-11-27T11:00:00Z,open
Poda de césped,Corte de césped y limpieza de jardín. Núñez. Para esta semana.,Gardening,Núñez,15000,25000,2025-11-29T14:15:00Z,open
Limpieza semanal,Busco limpieza semanal para depto 2 ambientes. Caballito. Cuánto cobran por mes?,Cleaning,Caballito,60000,90000,2025-11-26T12:30:00Z,open
Arreglo de puerta,Puerta de entrada no cierra bien. Necesito carpintero. Almagro.,Carpentry,Almagro,12000,20000,2025-11-28T10:45:00Z,open
Carga de gas aire acondicionado,Split no enfría. Creo que necesita gas. Villa Crespo. Cuánto sale?,Air Conditioning,Villa Crespo,35000,55000,2025-11-29T13:30:00Z,open
Cambio de cerradura,Quiero cambiar cerradura de puerta de entrada. Palermo. Recomendaciones?,Locksmith,Palermo,30000,50000,2025-11-27T15:00:00Z,open
Desratización,Vi ratas en el sótano. Necesito desratización urgente. Belgrano.,Pest Control,Belgrano,25000,40000,2025-11-28T09:15:00Z,open
Pintura de cocina,Pintar cocina y baño. Recoleta. Aprox 20m2 total. Presupuesto?,Painting,Recoleta,35000,55000,2025-11-26T16:45:00Z,open
Cambio de canilla,Canilla de cocina pierde agua. Necesito plomero. Caballito.,Plumbing,Caballito,10000,18000,2025-11-29T11:20:00Z,open
Instalación de lámpara,Instalación de araña en living. Núñez. Tengo la lámpara.,Electrical,Núñez,15000,25000,2025-11-27T14:30:00Z,open
Diseño de jardín,Diseño y armado de jardín en terraza. Almagro. 15m2.,Gardening,Almagro,80000,120000,2025-11-28T12:00:00Z,open
Limpieza de alfombras,Limpieza profunda de 3 alfombras grandes. Villa Crespo.,Cleaning,Villa Crespo,20000,35000,2025-11-29T10:00:00Z,open
Mueble a medida,Mueble bajo mesada para cocina. Palermo. Necesito presupuesto.,Carpentry,Palermo,60000,100000,2025-11-26T13:15:00Z,open
Instalación de aire,Instalación de split 3500 frigorías. Belgrano. Tengo el equipo.,Air Conditioning,Belgrano,45000,70000,2025-11-28T15:45:00Z,open
Apertura de puerta,Cerradura trabada. No puedo abrir puerta. Recoleta. Urgente.,Locksmith,Recoleta,20000,35000,2025-11-29T17:00:00Z,open
Tratamiento de termitas,Tengo termitas en muebles de madera. Caballito. Necesito tratamiento.,Pest Control,Caballito,30000,50000,2025-11-27T10:30:00Z,open
Empapelado de pared,Empapelar pared de dormitorio. Núñez. 12m2. Tengo el papel.,Painting,Núñez,25000,40000,2025-11-28T14:00:00Z,open
